X,Y,objectid,powerplant,unit,country,latitude,longitude,grosspower,netpowerin,type,reactorsup,reactormod,status,dateconstr,dateofcomm,dateofclos,operationa,owner,operators,imagesourc,link
35.0000000003182,41.9999999996677,606,Sinop Nuclear Power Plant,Sinop,Turkey,42,35,1150,1100,Pressurized Water Reactor,Atmea,ATMEA1,Contracted,2023, , ,2023 (scheduled), , , ,https://en.wikipedia.org/wiki/Sinop_Nuclear_Power_Plant
35.060277999725,57.9055560000055,607,Kalinin Nuclear Power Plant,Kalinin 2,Russia,57.905556,35.060278,1000,950,Pressurized Water Reactor, ,VVER V-338,Operational,"Tuesday, February 01, 1982","Wednesday, March 03, 1987",2038, , ,Rosenergoatom,https://upload.wikimedia.org/wikipedia/commons/d/d5/Udomlya_Kalinin_AES.jpg,https://en.wikipedia.org/wiki/Kalinin_Nuclear_Power_Plant
23.7705555598884,43.7461111097556,608,Kozloduy ,Kozloduy 5,Bulgaria,43.746111,23.770556,1000,0,Pressurized Water Reactor, ,VVER-440,Operational,1970,1987, , ,Bulgarian Energy Holding EAD, ,https://upload.wikimedia.org/wikipedia/commons/4/4c/NPP_Kozloduy_5-6.jpg,https://en.wikipedia.org/wiki/Kozloduy_Nuclear_Power_Plant
35.605555999718,51.6749999999885,609,Kursk Nuclear Power Plant,Kursk II-2,Russia,51.675,35.605556,1255,1115,Pressurized Water Reactor, ,VVER V-510,Under construction,"Tuesday, April 15, 2019", , , , ,Rosenergoatom,https://upload.wikimedia.org/wikipedia/commons/f/fb/RIAN_archive_341194_Kursk_Nuclear_Power_Plant.jpg,https://en.wikipedia.org/wiki/Kursk_Nuclear_Power_Plant
33.5411110003533,36.1444439998123,610,Akkuyu Nuclear Power Plant,Akkuyu Nuclear,Turkey,36.144444,33.541111,1200,1114,Pressurized Water Reactor,Atomstroyexport,VVER-1200/509,Under construction,"April 3, 2018",2023, ,2023 (scheduled),Akkuyu NGS Elektrik Üretim A.Ş., , ,https://en.wikipedia.org/wiki/Akkuyu_Nuclear_Power_Plant
21.4408333301882,61.2369444398216,611,Olkiluoto,Olkiluoto 3,Finland,61.236944,21.440833,0,0,Pressurized Water Reactor,ASEA Atom,Stal-Laval,Under construction, , , , ,Teollisuuden Voima Oy, ,https://upload.wikimedia.org/wikipedia/commons/f/f5/Olkiluoto_Nuclear_Power_Plant_2015-07-21_001_%28cropped%29.jpg,https://en.wikipedia.org/wiki/Olkiluoto_Nuclear_Power_Plant
34.5858329998096,47.5122220002534,612,Zaporizhia,Zaporizhia 6,Ukraine,47.512222,34.585833,1000,950,Pressurized Water Reactor,Atomstroyexport,VVER V-320,Operational,"June 1, 1986","September 17, 1996",2030,2030(Expected),Energoatom,Energoatom,https://upload.wikimedia.org/wikipedia/commons/2/2c/Kernkraftwerk_Saporischschja.JPG,https://en.wikipedia.org/wiki/Zaporizhia_Nuclear_Power_Plant
33.2466359999163,54.1691609999557,613,Smolensk Nuclear Power Plant,Smolensk 4,Russia,54.169161,33.246636,1000,925,Light Water Graphite Reactor, ,RBMK-1000,Unfinished, , , , , ,Rosenergoatom,https://upload.wikimedia.org/wikipedia/commons/3/36/Smolensk_Nuclear_Power_Plant.jpg,https://en.wikipedia.org/wiki/Smolensk_Nuclear_Power_Plant
29.043610999839,59.8472219998766,614,Leningrad Nuclear Power Plant,Leningrad II - 2,Russia,59.847222,29.043611,1199,1085,Pressurized Water Reactor,Atomstroyexport,VVER V-491,Under construction,"Friday, April 15, 2010",2021, , ,Rosenergoatom,Rosenergoatom,https://upload.wikimedia.org/wikipedia/commons/5/53/RIAN_archive_305005_Leningrad_nuclear_power_plant.jpg,https://en.wikipedia.org/wiki/Leningrad_Nuclear_Power_Plant
35.8037269996283,45.3919369998523,615,Crimean,Crimean 4,Ukraine,45.391937,35.803727,0,0,Pressurized Water Reactor, ,VVER-1000,Never Built, , , , , , , ,https://en.wikipedia.org/wiki/List_of_nuclear_reactors#United_Kingdom
